mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.011,0.313,-0.571,0.621,0.004,0.005,6526.0,2962.0,1.0
-0.044,0.321,-0.657,0.548,0.004,0.005,6313.0,3031.0,1.0
-0.039,0.318,-0.603,0.578,0.004,0.005,5539.0,3282.0,1.0
0.001,0.304,-0.547,0.602,0.005,0.005,4038.0,3262.0,1.0
0.001,0.318,-0.595,0.596,0.004,0.005,5066.0,2965.0,1.0
-0.005,0.324,-0.614,0.587,0.005,0.006,4982.0,2731.0,1.0
0.002,0.32,-0.582,0.619,0.004,0.005,7510.0,2865.0,1.0
-0.005,0.308,-0.573,0.575,0.005,0.005,4217.0,3128.0,1.0
-0.01,0.31,-0.557,0.599,0.004,0.005,5646.0,3017.0,1.0
0.007,0.32,-0.627,0.581,0.004,0.006,6007.0,3059.0,1.0
